start,end,defense_system,genome,seqid,source,system,class,original,defense_system2
1576138,1578594,RM_Type_IV,GCA_002117025.1,CP015649.1,defensefinder,RM,RM,RM_Type_IV,RM IV
5769359,5773239,RM_Type_IV,GCA_002117025.1,CP015649.1,defensefinder,RM,RM,RM_Type_IV,RM IV
1578594,1584870,Mokosh_TypeI,GCA_002117025.1,CP015649.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
2701303,2704631,RM_Type_IV,GCA_002117045.1,CP015650.1,defensefinder,RM,RM,RM_Type_IV,RM IV
2728199,2730655,RM_Type_IV,GCA_002117045.1,CP015650.1,defensefinder,RM,RM,RM_Type_IV,RM IV
2730655,2736931,Mokosh_TypeI,GCA_002117045.1,CP015650.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
426402,428873,RM_Type_IV,GCA_002192475.1,CP021774.1,defensefinder,RM,RM,RM_Type_IV,RM IV
2614120,2616342,RM_Type_IV,GCA_002192475.1,CP021774.1,defensefinder,RM,RM,RM_Type_IV,RM IV
2616342,2617481,RM_Type_IV,GCA_002192475.1,CP021774.1,defensefinder,RM,RM,RM_Type_IV,RM IV
420090,426402,Mokosh_TypeI,GCA_002192475.1,CP021774.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
369528,371780,RM_Type_IV,GCA_002192495.1,CP021775.1,defensefinder,RM,RM,RM_Type_IV,RM IV
363204,369406,Mokosh_TypeI,GCA_002192495.1,CP021775.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
6771174,6773020,RosmerTA,GCA_002192495.1,CP021775.1,defensefinder,RosmerTA,TA,RosmerTA,RosmerTA
5370716,5373099,RM_Type_II,GCA_002205335.1,CP021999.1,defensefinder,RM,RM,RM_Type_II,RM II
426144,428615,RM_Type_IV,GCA_002205355.1,CP022000.1,defensefinder,RM,RM,RM_Type_IV,RM IV
2664395,2665534,RM_Type_IV,GCA_002205355.1,CP022000.1,defensefinder,RM,RM,RM_Type_IV,RM IV
419832,426144,Mokosh_TypeI,GCA_002205355.1,CP022000.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
4363627,4368169,Lamassu-Fam,GCA_002205375.1,CP022002.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
1564967,1569439,RM_Type_IIG,GCA_002208645.1,CP022001.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
5241346,5247853,Mokosh_TypeI,GCA_002208645.1,CP022001.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
2521566,2522867,RM_Type_IV,GCA_002215345.1,CP017293.1,defensefinder,RM,RM,RM_Type_IV,RM IV
256101,260605,RM_Type_II,GCA_002215345.1,CP017294.1,defensefinder,RM,RM,RM_Type_II,RM II
2495931,2502093,Azaca,GCA_002215345.1,CP017293.1,defensefinder,Azaca,Unknown,Azaca,Azaca
6299022,6300868,RosmerTA,GCA_002215345.1,CP017293.1,defensefinder,RosmerTA,TA,RosmerTA,RosmerTA
4975705,4980653,Dynamins,GCA_002223805.1,CP019338.1,defensefinder,Dynamins,Unknown,Dynamins,Dynamins
4958208,4960091,RM_Type_IV,GCA_002223805.1,CP019338.1,defensefinder,RM,RM,RM_Type_IV,RM IV
355753,358224,RM_Type_IV,GCA_002287725.2,CP023316.1,defensefinder,RM,RM,RM_Type_IV,RM IV
349441,355753,Mokosh_TypeI,GCA_002287725.2,CP023316.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
5170079,5173042,RM_Type_IIG,GCA_002411865.3,CP031449.2,defensefinder,RM,RM,RM_Type_IIG,RM IIG
1406700,1409378,Rst_DprA-PPRT,GCA_002411865.3,CP031449.2,defensefinder,DprA-PRTase,Unknown,Rst_DprA-PPRT,DprA-PRTase
1406700,1409378,ShosTA,GCA_002411865.3,CP031449.2,defensefinder,ShosTA,TA,ShosTA,ShosTA
1404818,1406670,RosmerTA,GCA_002411865.3,CP031449.2,defensefinder,RosmerTA,TA,RosmerTA,RosmerTA
6446488,6448371,RosmerTA,GCA_002411865.3,CP031449.2,defensefinder,RosmerTA,TA,RosmerTA,RosmerTA
3526036,3526380,Borvo,GCA_002812865.1,CP025051.1,defensefinder,Borvo,Unknown,Borvo,Borvo
2472681,2475027,Dynamins,GCA_002812865.1,CP025051.1,defensefinder,Dynamins,Unknown,Dynamins,Dynamins
2704323,2706276,RM_Type_II,GCA_002812865.1,CP025051.1,defensefinder,RM,RM,RM_Type_II,RM II
3522963,3523217,Borvo,GCA_002812885.1,CP025053.1,defensefinder,Borvo,Unknown,Borvo,Borvo
2472681,2475027,Dynamins,GCA_002812885.1,CP025053.1,defensefinder,Dynamins,Unknown,Dynamins,Dynamins
2704323,2706276,RM_Type_II,GCA_002812885.1,CP025053.1,defensefinder,RM,RM,RM_Type_II,RM II
5625381,5630369,RM_Type_IIG,GCA_002812905.2,CP025055.2,defensefinder,RM,RM,RM_Type_IIG,RM IIG
5625381,5630369,RM_Type_IIG,GCA_002812925.3,CP025056.3,defensefinder,RM,RM,RM_Type_IIG,RM IIG
2521877,2524729,RM_Type_IV,GCA_002946935.1,CP026680.1,defensefinder,RM,RM,RM_Type_IV,RM IV
2524783,2526033,RM_Type_IV,GCA_002946935.1,CP026680.1,defensefinder,RM,RM,RM_Type_IV,RM IV
766054,770246,Lamassu-Fam,GCA_002946935.1,CP026680.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
1263519,1265049,ShosTA,GCA_002946935.1,CP026680.1,defensefinder,ShosTA,TA,ShosTA,ShosTA
2647634,5644181,RM_Type_II,GCA_002968515.1,CP027165.1,defensefinder,RM,RM,RM_Type_II,RM II
1194181,1195566,RM_Type_IV,GCA_002968515.1,CP027165.1,defensefinder,RM,RM,RM_Type_IV,RM IV
3549815,3554803,RM_Type_IIG,GCA_002968585.1,CP027171.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
6984380,6986794,RM_Type_IV,GCA_002968655.1,CP027172.1,defensefinder,RM,RM,RM_Type_IV,RM IV
1134785,1136215,RM_Type_IV,GCA_002968695.1,CP027174.1,defensefinder,RM,RM,RM_Type_IV,RM IV
205592,210580,RM_Type_IIG,GCA_002968755.1,CP027169.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
2831048,2836036,RM_Type_IIG,GCA_002968955.1,CP027166.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
2401959,2404466,RM_Type_IV,GCA_002997005.1,CP027538.1,defensefinder,RM,RM,RM_Type_IV,RM IV
586181,587083,AbiH,GCA_002997005.1,CP027538.1,defensefinder,AbiH,Abi,AbiH,AbiH
2376275,2377981,RM_Type_IV,GCA_003025345.2,CP020560.1,defensefinder,RM,RM,RM_Type_IV,RM IV
5839668,5844656,RM_Type_IIG,GCA_003052005.2,CP028584.2,defensefinder,RM,RM,RM_Type_IIG,RM IIG
3153745,3158287,Lamassu-Fam,GCA_003052005.2,CP028584.2,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
2849861,2851246,RM_Type_IV,GCA_003073615.1,CP029089.1,defensefinder,RM,RM,RM_Type_IV,RM IV
5532080,5537068,RM_Type_IIG,GCA_003073695.1,CP029093.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
2679693,2681441,RM_Type_IIG,GCA_003073735.1,CP029088.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
2685873,2686799,RM_Type_IV,GCA_003073735.1,CP029088.1,defensefinder,RM,RM,RM_Type_IV,RM IV
1308858,1313330,RM_Type_IIG,GCA_003073895.1,CP029097.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
6993596,6995968,RM_Type_IV,GCA_003073895.1,CP029097.1,defensefinder,RM,RM,RM_Type_IV,RM IV
2146538,2148994,RM_Type_IV,GCA_003073895.1,CP029097.1,defensefinder,RM,RM,RM_Type_IV,RM IV
6995970,906780,Mokosh_TypeI,GCA_003073895.1,CP029097.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
133970,5858160,Mokosh_TypeI,GCA_003073895.1,CP029097.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
2954947,3338827,Mokosh_TypeI,GCA_003074115.1,CP029147.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
3891174,3892868,dCTPdeaminase,GCA_003193645.1,CP029660.1,defensefinder,dCTPdeaminase,Nucleotide_depletion,dCTPdeaminase,dCTPdeaminase
529509,534451,Dynamins,GCA_003194245.1,CP023255.1,defensefinder,Dynamins,Unknown,Dynamins,Dynamins
5550495,5555120,RM_Type_II,GCA_003194245.1,CP023255.1,defensefinder,RM,RM,RM_Type_II,RM II
4298022,4304529,Mokosh_TypeI,GCA_003194245.1,CP023255.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
2553492,2554793,RM_Type_IV,GCA_003204335.1,CP029745.1,defensefinder,RM,RM,RM_Type_IV,RM IV
2527857,2534019,Azaca,GCA_003204335.1,CP029745.1,defensefinder,Azaca,Unknown,Azaca,Azaca
1256986,1258832,RosmerTA,GCA_003204335.1,CP029745.1,defensefinder,RosmerTA,TA,RosmerTA,RosmerTA
1097194,1098495,RM_Type_IV,GCA_003206535.1,CP029707.1,defensefinder,RM,RM,RM_Type_IV,RM IV
1071559,1077721,Azaca,GCA_003206535.1,CP029707.1,defensefinder,Azaca,Unknown,Azaca,Azaca
4994526,4996372,RosmerTA,GCA_003206535.1,CP029707.1,defensefinder,RosmerTA,TA,RosmerTA,RosmerTA
2173637,2176357,RM_Type_IIG,GCA_003288355.1,CP030328.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
195599,197851,Borvo,GCA_003288435.1,CP030327.1,defensefinder,Borvo,Unknown,Borvo,Borvo
6762356,6767155,Tiamat,GCA_003319235.1,CP030861.1,defensefinder,Tiamat,Unknown,Tiamat,Tiamat
6775421,6777193,RM_Type_IV,GCA_003319235.1,CP030861.1,defensefinder,RM,RM,RM_Type_IV,RM IV
3059726,3061249,RosmerTA,GCA_003319235.1,CP030861.1,defensefinder,RosmerTA,TA,RosmerTA,RosmerTA
1716330,1719777,Lamassu-Fam,GCA_003332705.2,CP032552.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
6339386,6341232,RosmerTA,GCA_003332705.2,CP032552.1,defensefinder,RosmerTA,TA,RosmerTA,RosmerTA
2904363,2908905,Lamassu-Fam,GCA_003369735.1,CP030913.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
5463451,5465043,dCTPdeaminase,GCA_003369735.1,CP030913.1,defensefinder,dCTPdeaminase,Nucleotide_depletion,dCTPdeaminase,dCTPdeaminase
2633058,2636221,RM_Type_IV,GCA_003369755.1,CP030912.1,defensefinder,RM,RM,RM_Type_IV,RM IV
3282448,3286129,Lamassu-Fam,GCA_003369775.1,CP030910.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
2903712,2908254,Lamassu-Fam,GCA_003408495.1,CP030911.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
5526542,5528134,dCTPdeaminase,GCA_003408495.1,CP030911.1,defensefinder,dCTPdeaminase,Nucleotide_depletion,dCTPdeaminase,dCTPdeaminase
762837,766013,RM_Type_IIG,GCA_003411785.2,CP039293.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
1269238,1270768,ShosTA,GCA_003429185.1,CP031659.1,defensefinder,ShosTA,TA,ShosTA,ShosTA
3140621,3144255,Olokun,GCA_003429205.1,CP031660.1,defensefinder,Olokun,Unknown,Olokun,Olokun
2446501,2447823,RM_Type_IV,GCA_003429205.1,CP031660.1,defensefinder,RM,RM,RM_Type_IV,RM IV
2445257,2446504,RM_Type_IV,GCA_003429205.1,CP031660.1,defensefinder,RM,RM,RM_Type_IV,RM IV
5253476,5256439,RM_Type_IIG,GCA_003433235.1,CP029605.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
5711869,5713399,ShosTA,GCA_003441515.1,CP031877.1,defensefinder,ShosTA,TA,ShosTA,ShosTA
4558602,4560132,ShosTA,GCA_003441535.1,CP031876.1,defensefinder,ShosTA,TA,ShosTA,ShosTA
6115834,6117364,ShosTA,GCA_003441555.1,CP031878.1,defensefinder,ShosTA,TA,ShosTA,ShosTA
3630009,3633060,RM_Type_II,GCA_003441575.1,CP031879.1,defensefinder,RM,RM,RM_Type_II,RM II
6435024,6438352,RM_Type_IV,GCA_003441575.1,CP031879.1,defensefinder,RM,RM,RM_Type_IV,RM IV
1055335,1060323,RM_Type_IIG,GCA_003571505.1,CP012901.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
1647364,1650327,RM_Type_IIG,GCA_003571505.1,CP012901.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
6609440,6611911,RM_Type_IV,GCA_003571505.1,CP012901.1,defensefinder,RM,RM,RM_Type_IV,RM IV
6619778,6621144,DarTG,GCA_003571505.1,CP012901.1,defensefinder,darTG,TA,DarTG,DarTG
480517,482400,RosmerTA,GCA_003571505.1,CP012901.1,defensefinder,RosmerTA,TA,RosmerTA,RosmerTA
6611911,6618229,Mokosh_TypeI,GCA_003571505.1,CP012901.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
6017176,6018477,RM_Type_IV,GCA_003571805.1,CP032257.1,defensefinder,RM,RM,RM_Type_IV,RM IV
5990205,5996367,Azaca,GCA_003571805.1,CP032257.1,defensefinder,Azaca,Unknown,Azaca,Azaca
2775482,2777328,RosmerTA,GCA_003571805.1,CP032257.1,defensefinder,RosmerTA,TA,RosmerTA,RosmerTA
3736341,3738257,RM_Type_IIG,GCA_003641125.1,CP032761.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
4819362,4821278,RM_Type_IIG,GCA_003641125.1,CP032761.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
3739661,3741472,RosmerTA,GCA_003641125.1,CP032761.1,defensefinder,RosmerTA,TA,RosmerTA,RosmerTA
4816147,4817958,RosmerTA,GCA_003641125.1,CP032761.1,defensefinder,RosmerTA,TA,RosmerTA,RosmerTA
4540533,4545332,Tiamat,GCA_003665495.1,CP030075.1,defensefinder,Tiamat,Unknown,Tiamat,Tiamat
174644,177100,RM_Type_IV,GCA_003665495.1,CP030075.1,defensefinder,RM,RM,RM_Type_IV,RM IV
