genome,start,seqid,defense_system,source,end,system,class,defense_system2
GCA_001515765.1,164808,CP012012.1,RosmerTA,defensefinder,166765,RosmerTA,TA,RosmerTA
GCA_001548295.1,373255,AP014942.1,Abi2,defensefinder,374229,Abi2,Abi,Abi2
GCA_001548295.1,118555,AP014942.1,RosmerTA,defensefinder,120503,RosmerTA,TA,RosmerTA
GCA_001548415.1,412349,AP017320.1,Abi2,defensefinder,413323,Abi2,Abi,Abi2
GCA_001548415.1,161202,AP017320.1,RosmerTA,defensefinder,163150,RosmerTA,TA,RosmerTA
GCA_001549655.1,387799,AP014652.1,Abi2,defensefinder,388791,Abi2,Abi,Abi2
GCA_001549675.1,387799,AP014653.1,Abi2,defensefinder,388791,Abi2,Abi,Abi2
GCA_001558795.2,11456,CP014063.1,RM_Type_III,defensefinder,15431,RM,RM,RM III
GCA_001558795.2,2339676,CP014064.2,Abi2,defensefinder,2340614,Abi2,Abi,Abi2
GCA_001558795.2,2089041,CP014064.2,RosmerTA,defensefinder,2090989,RosmerTA,TA,RosmerTA
GCA_001580495.1,2374403,CP010998.1,Abi2,defensefinder,2375377,Abi2,Abi,Abi2
GCA_001580515.1,2324664,CP013231.1,Abi2,defensefinder,2325638,Abi2,Abi,Abi2
GCA_001580515.1,1378019,CP013231.1,Dodola,defensefinder,1379947,Dodola,Unknown,Dodola
GCA_001611325.1,353496,CP012979.1,Abi2,defensefinder,354470,Abi2,Abi,Abi2
GCA_001611325.1,103790,CP012979.1,RosmerTA,defensefinder,105738,RosmerTA,TA,RosmerTA
GCA_001611345.1,353343,CP012978.1,Abi2,defensefinder,354317,Abi2,Abi,Abi2
GCA_001611345.1,103788,CP012978.1,RosmerTA,defensefinder,105736,RosmerTA,TA,RosmerTA
GCA_001611365.1,35657,CP012976.1,RM_Type_IV,defensefinder,38384,RM,RM,RM IV
GCA_001611365.1,365120,CP012976.1,Abi2,defensefinder,366094,Abi2,Abi,Abi2
GCA_001611385.1,35657,CP012974.1,RM_Type_IV,defensefinder,38384,RM,RM,RM IV
GCA_001611385.1,365113,CP012974.1,Abi2,defensefinder,366087,Abi2,Abi,Abi2
GCA_001611405.1,357121,CP012972.1,Abi2,defensefinder,358095,Abi2,Abi,Abi2
GCA_001611405.1,103765,CP012972.1,RosmerTA,defensefinder,105713,RosmerTA,TA,RosmerTA
GCA_001611425.1,357121,CP012970.1,Abi2,defensefinder,358095,Abi2,Abi,Abi2
GCA_001611425.1,103766,CP012970.1,RosmerTA,defensefinder,105714,RosmerTA,TA,RosmerTA
GCA_001618305.1,1077844,CP015173.1,Abi2,defensefinder,1078818,Abi2,Abi,Abi2
GCA_001618305.1,827963,CP015173.1,RosmerTA,defensefinder,829911,RosmerTA,TA,RosmerTA
GCA_001640885.1,413012,CP011685.1,Abi2,defensefinder,413986,Abi2,Abi,Abi2
GCA_001640905.1,2423440,CP013953.1,Retron_III,defensefinder,2427252,Retron,Retron,Retron III
GCA_001640905.1,412095,CP013953.1,Abi2,defensefinder,413069,Abi2,Abi,Abi2
GCA_001640905.1,164492,CP013953.1,RosmerTA,defensefinder,166440,RosmerTA,TA,RosmerTA
GCA_001640925.1,2383080,CP013955.1,Retron_III,defensefinder,2386892,Retron,Retron,Retron III
GCA_001640925.1,415693,CP013955.1,Abi2,defensefinder,416667,Abi2,Abi,Abi2
GCA_001640925.1,164553,CP013955.1,RosmerTA,defensefinder,166501,RosmerTA,TA,RosmerTA
GCA_001641025.1,101052,CP013957.1,RM_Type_IV,defensefinder,103785,RM,RM,RM IV
GCA_001641025.1,463830,CP013957.1,Abi2,defensefinder,464567,Abi2,Abi,Abi2
GCA_001641025.1,2543741,CP013957.1,Dodola,defensefinder,2545669,Dodola,Unknown,Dodola
GCA_001641045.1,101182,CP013959.1,RM_Type_IV,defensefinder,103915,RM,RM,RM IV
GCA_001641045.1,463958,CP013959.1,Abi2,defensefinder,464932,Abi2,Abi,Abi2
GCA_001641045.1,171136,CP013959.1,RosmerTA,defensefinder,173084,RosmerTA,TA,RosmerTA
GCA_001641045.1,2545665,CP013959.1,Dodola,defensefinder,2547593,Dodola,Unknown,Dodola
GCA_001656045.1,1835758,CP015645.1,Abi2,defensefinder,1836732,Abi2,Abi,Abi2
GCA_001656075.1,258058,CP015646.1,RosmerTA,defensefinder,260006,RosmerTA,TA,RosmerTA
GCA_001717645.3,1654422,CP016855.2,Abi2,defensefinder,1655360,Abi2,Abi,Abi2
GCA_001717665.2,1023769,CP016856.2,Abi2,defensefinder,1024707,Abi2,Abi,Abi2
GCA_001717665.2,12375,CP016856.2,Mokosh_TypeI,defensefinder,207527,Mokosh,Unknown,Mokosh I
GCA_001717685.3,959690,CP016858.2,Abi2,defensefinder,960628,Abi2,Abi,Abi2
GCA_001717705.2,20202,CP016860.2,RM_Type_IV,defensefinder,20807,RM,RM,RM IV
GCA_001717705.2,950849,CP016861.2,Abi2,defensefinder,951787,Abi2,Abi,Abi2
GCA_001717725.2,2533643,CP016863.2,Abi2,defensefinder,2534581,Abi2,Abi,Abi2
GCA_001717975.3,1656253,CP017094.2,Abi2,defensefinder,1657191,Abi2,Abi,Abi2
GCA_001725965.1,408150,CP012692.1,Abi2,defensefinder,409124,Abi2,Abi,Abi2
GCA_001725965.1,157532,CP012692.1,RosmerTA,defensefinder,159480,RosmerTA,TA,RosmerTA
GCA_001735655.2,20202,CP025497.1,RM_Type_IV,defensefinder,20807,RM,RM,RM IV
GCA_001735655.2,950849,CP025495.1,Abi2,defensefinder,951787,Abi2,Abi,Abi2
GCA_001879545.1,390565,CP013132.1,Abi2,defensefinder,391539,Abi2,Abi,Abi2
GCA_001880265.1,376187,CP013182.1,Abi2,defensefinder,377161,Abi2,Abi,Abi2
GCA_001880265.1,131851,CP013182.1,RosmerTA,defensefinder,133799,RosmerTA,TA,RosmerTA
GCA_001880265.1,1510633,CP013182.1,Shango,defensefinder,1518525,Shango,Unknown,Shango
GCA_001887075.1,158186,CP013218.1,RosmerTA,defensefinder,160134,RosmerTA,TA,RosmerTA
GCA_001956755.1,55219,CP019117.1,RM_Type_IV,defensefinder,57952,RM,RM,RM IV
GCA_001956755.1,125370,CP019117.1,RosmerTA,defensefinder,127318,RosmerTA,TA,RosmerTA
GCA_001956815.1,419869,CP009423.1,Abi2,defensefinder,420843,Abi2,Abi,Abi2
GCA_001956815.1,2380679,CP009423.1,Dodola,defensefinder,2382607,Dodola,Unknown,Dodola
GCA_001975005.1,444687,CP018766.1,Abi2,defensefinder,445625,Abi2,Abi,Abi2
GCA_001975005.1,194733,CP018766.1,RosmerTA,defensefinder,196681,RosmerTA,TA,RosmerTA
GCA_001975045.1,425713,CP018768.1,Abi2,defensefinder,426651,Abi2,Abi,Abi2
GCA_001975045.1,174750,CP018768.1,RosmerTA,defensefinder,176698,RosmerTA,TA,RosmerTA
GCA_001986135.1,2017579,CP019563.1,RM_Type_IV,defensefinder,2019483,RM,RM,RM IV
GCA_001986135.1,1695356,CP019563.1,Abi2,defensefinder,1696294,Abi2,Abi,Abi2
GCA_001986135.1,1949670,CP019563.1,RosmerTA,defensefinder,1951618,RosmerTA,TA,RosmerTA
GCA_002000565.1,419899,CP014392.1,Abi2,defensefinder,420873,Abi2,Abi,Abi2
GCA_002000565.1,2393899,CP014392.1,Dodola,defensefinder,2395827,Dodola,Unknown,Dodola
GCA_002000585.1,419899,CP014397.1,Abi2,defensefinder,420873,Abi2,Abi,Abi2
GCA_002000585.1,2393899,CP014397.1,Dodola,defensefinder,2395827,Dodola,Unknown,Dodola
GCA_002000605.1,419899,CP014402.1,Abi2,defensefinder,420873,Abi2,Abi,Abi2
GCA_002000605.1,2393899,CP014402.1,Dodola,defensefinder,2395827,Dodola,Unknown,Dodola
GCA_002000625.1,419992,CP014407.1,Abi2,defensefinder,420966,Abi2,Abi,Abi2
GCA_002000625.1,2352219,CP014407.1,Dodola,defensefinder,2354147,Dodola,Unknown,Dodola
GCA_002000645.1,419988,CP014409.1,Abi2,defensefinder,420962,Abi2,Abi,Abi2
GCA_002000645.1,2395623,CP014409.1,Dodola,defensefinder,2397551,Dodola,Unknown,Dodola
GCA_002000665.1,419988,CP014412.1,Abi2,defensefinder,420962,Abi2,Abi,Abi2
GCA_002000665.1,2395793,CP014412.1,Dodola,defensefinder,2397721,Dodola,Unknown,Dodola
GCA_002000685.1,419992,CP014415.1,Abi2,defensefinder,420966,Abi2,Abi,Abi2
GCA_002000685.1,2395804,CP014415.1,Dodola,defensefinder,2397732,Dodola,Unknown,Dodola
GCA_002000705.1,419988,CP014420.1,Abi2,defensefinder,420962,Abi2,Abi,Abi2
GCA_002000705.1,2395793,CP014420.1,Dodola,defensefinder,2397721,Dodola,Unknown,Dodola
GCA_002000725.1,419988,CP014423.1,Abi2,defensefinder,420962,Abi2,Abi,Abi2
GCA_002000725.1,2395793,CP014423.1,Dodola,defensefinder,2397721,Dodola,Unknown,Dodola
GCA_002000745.1,419988,CP014426.1,Abi2,defensefinder,420962,Abi2,Abi,Abi2
GCA_002000745.1,2395793,CP014426.1,Dodola,defensefinder,2397721,Dodola,Unknown,Dodola
GCA_002000765.1,419988,CP014429.1,Abi2,defensefinder,420962,Abi2,Abi,Abi2
GCA_002000765.1,2395794,CP014429.1,Dodola,defensefinder,2397722,Dodola,Unknown,Dodola
GCA_002000785.1,415469,CP014432.1,Abi2,defensefinder,416443,Abi2,Abi,Abi2
GCA_002000785.1,2391344,CP014432.1,Dodola,defensefinder,2393272,Dodola,Unknown,Dodola
GCA_002000805.1,419988,CP014435.1,Abi2,defensefinder,420962,Abi2,Abi,Abi2
GCA_002000805.1,2395623,CP014435.1,Dodola,defensefinder,2397551,Dodola,Unknown,Dodola
GCA_002000825.1,415469,CP014438.1,Abi2,defensefinder,416443,Abi2,Abi,Abi2
GCA_002000825.1,2391343,CP014438.1,Dodola,defensefinder,2393271,Dodola,Unknown,Dodola
GCA_002000845.1,415469,CP014441.1,Abi2,defensefinder,416443,Abi2,Abi,Abi2
GCA_002000845.1,2391343,CP014441.1,Dodola,defensefinder,2393271,Dodola,Unknown,Dodola
GCA_002000865.1,419992,CP014444.1,Abi2,defensefinder,420966,Abi2,Abi,Abi2
GCA_002000865.1,2395804,CP014444.1,Dodola,defensefinder,2397732,Dodola,Unknown,Dodola
GCA_002085525.1,420378,CP020619.1,Abi2,defensefinder,421316,Abi2,Abi,Abi2
GCA_002088995.1,420835,CP019590.1,Abi2,defensefinder,421773,Abi2,Abi,Abi2
GCA_002089035.2,111430,CP019591.2,RosmerTA,defensefinder,113378,RosmerTA,TA,RosmerTA
GCA_002089055.1,168130,CP019592.1,RosmerTA,defensefinder,170078,RosmerTA,TA,RosmerTA
GCA_002089075.2,111604,CP019593.2,RosmerTA,defensefinder,113552,RosmerTA,TA,RosmerTA
GCA_002089095.2,65519,CP019595.2,AbiH,defensefinder,66382,AbiH,Abi,AbiH
GCA_002089095.2,143829,CP019595.2,RosmerTA,defensefinder,145777,RosmerTA,TA,RosmerTA
GCA_002089115.2,111628,CP019594.2,RosmerTA,defensefinder,113576,RosmerTA,TA,RosmerTA
GCA_002097595.2,102713,CP015447.2,RM_Type_IV,defensefinder,105446,RM,RM,RM IV
GCA_002097595.2,421288,CP015447.2,Abi2,defensefinder,422226,Abi2,Abi,Abi2
GCA_002097595.2,171809,CP015447.2,RosmerTA,defensefinder,173757,RosmerTA,TA,RosmerTA
GCA_002140115.1,58170,CP015817.1,RM_Type_IV,defensefinder,60780,RM,RM,RM IV
GCA_002140115.1,386373,CP015817.1,Abi2,defensefinder,387347,Abi2,Abi,Abi2
GCA_002140115.1,139700,CP015817.1,RosmerTA,defensefinder,141648,RosmerTA,TA,RosmerTA
GCA_002204555.1,412993,CP017090.1,Abi2,defensefinder,413967,Abi2,Abi,Abi2
GCA_002204555.1,78101,CP017090.1,Dodola,defensefinder,79970,Dodola,Unknown,Dodola
GCA_002204555.1,162435,CP017090.1,RosmerTA,defensefinder,164383,RosmerTA,TA,RosmerTA
GCA_002204575.1,157981,CP017091.1,RosmerTA,defensefinder,159929,RosmerTA,TA,RosmerTA
GCA_002209325.1,389152,CP017115.1,Abi2,defensefinder,390126,Abi2,Abi,Abi2
GCA_002209325.1,414043,CP017115.1,Abi2,defensefinder,414894,Abi2,Abi,Abi2
GCA_002214665.1,384727,CP016398.1,Abi2,defensefinder,385701,Abi2,Abi,Abi2
GCA_002214665.1,1500559,CP016398.1,Shango,defensefinder,1508439,Shango,Unknown,Shango
GCA_002310395.1,409748,CP023391.1,Abi2,defensefinder,410686,Abi2,Abi,Abi2
GCA_002356655.1,368788,AP015012.1,Abi2,defensefinder,369762,Abi2,Abi,Abi2
GCA_002356675.1,2285472,AP014921.1,Dodola,defensefinder,2287400,Dodola,Unknown,Dodola
GCA_002386245.1,111995,CP023500.1,Abi2,defensefinder,112933,Abi2,Abi,Abi2
GCA_002442975.1,414125,CP020741.1,Abi2,defensefinder,415063,Abi2,Abi,Abi2
