start,defense_system,source,end,genome,seqid,system,class,original,defense_system2
91518,Mokosh_TypeI,defensefinder,97594,GCA_003515285.1,CP022766.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
30185,RM_Type_IV,defensefinder,31048,GCA_003515305.1,CP023014.1,RM,RM,RM_Type_IV,RM IV
24991,RM_Type_IV,defensefinder,25845,GCA_003515325.1,CP022774.1,RM,RM,RM_Type_IV,RM IV
3295254,Lamassu-Fam,defensefinder,3299099,GCA_003515325.1,CP022774.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
399105,AbiEii,defensefinder,401071,GCA_003515325.1,CP022775.1,AbiE,Abi,AbiEii,AbiEii
2365878,AVAST_V,defensefinder,2368151,GCA_003515325.1,CP022774.1,AVAST,Unknown,AVAST_V,AVAST V
30178,RM_Type_IV,defensefinder,31041,GCA_003515345.1,CP022782.1,RM,RM,RM_Type_IV,RM IV
277900,AbiEii,defensefinder,279872,GCA_003515345.1,CP022783.1,AbiE,Abi,AbiEii,AbiEii
288115,AbiEii,defensefinder,290087,GCA_003515365.1,CP022785.1,AbiE,Abi,AbiEii,AbiEii
22631,RM_Type_IV,defensefinder,23485,GCA_003515385.1,CP023016.1,RM,RM,RM_Type_IV,RM IV
288145,AbiEii,defensefinder,290117,GCA_003515405.1,CP022793.1,AbiE,Abi,AbiEii,AbiEii
24997,RM_Type_IV,defensefinder,25851,GCA_003515425.1,CP022796.1,RM,RM,RM_Type_IV,RM IV
3295468,Lamassu-Fam,defensefinder,3299262,GCA_003515425.1,CP022796.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
399135,AbiEii,defensefinder,401101,GCA_003515425.1,CP022797.1,AbiE,Abi,AbiEii,AbiEii
2366035,AVAST_V,defensefinder,2368308,GCA_003515425.1,CP022796.1,AVAST,Unknown,AVAST_V,AVAST V
12391,RM_Type_IV,defensefinder,15135,GCA_003515445.1,CP022798.1,RM,RM,RM_Type_IV,RM IV
25332,RM_Type_IV,defensefinder,26186,GCA_003515445.1,CP022798.1,RM,RM,RM_Type_IV,RM IV
405336,AbiEii,defensefinder,407302,GCA_003515445.1,CP022799.1,AbiE,Abi,AbiEii,AbiEii
24994,RM_Type_IV,defensefinder,25848,GCA_003515485.1,CP022757.1,RM,RM,RM_Type_IV,RM IV
3295421,Lamassu-Fam,defensefinder,3299215,GCA_003515485.1,CP022757.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
399128,AbiEii,defensefinder,401094,GCA_003515485.1,CP022758.1,AbiE,Abi,AbiEii,AbiEii
2365993,AVAST_V,defensefinder,2368266,GCA_003515485.1,CP022757.1,AVAST,Unknown,AVAST_V,AVAST V
12391,RM_Type_IV,defensefinder,15135,GCA_003515505.1,CP022761.1,RM,RM,RM_Type_IV,RM IV
25332,RM_Type_IV,defensefinder,26186,GCA_003515505.1,CP022761.1,RM,RM,RM_Type_IV,RM IV
405337,AbiEii,defensefinder,407303,GCA_003515505.1,CP022762.1,AbiE,Abi,AbiEii,AbiEii
24996,RM_Type_IV,defensefinder,25850,GCA_003515525.1,CP022763.1,RM,RM,RM_Type_IV,RM IV
3295467,Lamassu-Fam,defensefinder,3299261,GCA_003515525.1,CP022763.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
399135,AbiEii,defensefinder,401101,GCA_003515525.1,CP022764.1,AbiE,Abi,AbiEii,AbiEii
2366027,AVAST_V,defensefinder,2368300,GCA_003515525.1,CP022763.1,AVAST,Unknown,AVAST_V,AVAST V
649329,RM_Type_IV,defensefinder,653032,GCA_003515545.1,CP022768.1,RM,RM,RM_Type_IV,RM IV
688560,Lamassu-Fam,defensefinder,692013,GCA_003515545.1,CP022768.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
281127,AbiEii,defensefinder,283099,GCA_003515545.1,CP022769.1,AbiE,Abi,AbiEii,AbiEii
92842,Mokosh_TypeI,defensefinder,98918,GCA_003515545.1,CP022769.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
288162,AbiEii,defensefinder,290134,GCA_003515565.1,CP022773.1,AbiE,Abi,AbiEii,AbiEii
648155,RM_Type_IV,defensefinder,651858,GCA_003515585.1,CP022778.1,RM,RM,RM_Type_IV,RM IV
687395,Lamassu-Fam,defensefinder,690848,GCA_003515585.1,CP022778.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
281144,AbiEii,defensefinder,283116,GCA_003515585.1,CP022779.1,AbiE,Abi,AbiEii,AbiEii
92860,Mokosh_TypeI,defensefinder,98936,GCA_003515585.1,CP022779.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
594299,Lamassu-Fam,defensefinder,597752,GCA_003515605.1,CP022780.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
3604350,Lamassu-Fam,defensefinder,3607850,GCA_003515605.1,CP022780.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
1814796,AbiEii,defensefinder,1816768,GCA_003515605.1,CP022781.1,AbiE,Abi,AbiEii,AbiEii
100077,Mokosh_TypeI,defensefinder,98683,GCA_003515605.1,CP022781.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
284745,AbiEii,defensefinder,286717,GCA_003515625.1,CP022787.1,AbiE,Abi,AbiEii,AbiEii
92737,Mokosh_TypeI,defensefinder,98813,GCA_003515625.1,CP022787.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
2988091,Dazbog,defensefinder,2990385,GCA_003576625.1,CP025741.1,Dazbog,Unknown,Dazbog,Dazbog
22720,RM_Type_IV,defensefinder,23583,GCA_003576625.1,CP025741.1,RM,RM,RM_Type_IV,RM IV
425880,AbiEii,defensefinder,427852,GCA_003576625.1,CP025742.1,AbiE,Abi,AbiEii,AbiEii
1834440,AbiEii,defensefinder,1836807,GCA_003590585.2,CP026091.2,AbiE,Abi,AbiEii,AbiEii
2923176,RM_Type_IV,defensefinder,2923898,GCA_003590605.1,CP026307.1,RM,RM,RM_Type_IV,RM IV
300514,AbiEii,defensefinder,302459,GCA_003590605.1,CP026308.1,AbiE,Abi,AbiEii,AbiEii
1800446,AbiEii,defensefinder,230735,GCA_003590625.2,CP026093.2,AbiE,Abi,AbiEii,AbiEii
2524,RM_Type_IV,defensefinder,3387,GCA_003595325.1,CP022702.1,RM,RM,RM_Type_IV,RM IV
730345,AbiEii,defensefinder,732317,GCA_003595325.1,CP022703.1,AbiE,Abi,AbiEii,AbiEii
3231762,Lamassu-Fam,defensefinder,3235262,GCA_003999715.1,CP022481.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
801080,AbiEii,defensefinder,803052,GCA_003999715.1,CP022482.1,AbiE,Abi,AbiEii,AbiEii
226660,Lamassu-Fam,defensefinder,230103,GCA_006088755.1,CP039339.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
521929,Mokosh_TypeII,defensefinder,525408,GCA_009832785.1,CP047137.1,Mokosh,Unknown,Mokosh_TypeII,Mokosh II
2242564,RM_Type_IIG,defensefinder,2244369,GCA_009832805.1,CP047138.1,RM,RM,RM_Type_IIG,RM IIG
545768,Mokosh_TypeII,defensefinder,549247,GCA_009832805.1,CP047139.1,Mokosh,Unknown,Mokosh_TypeII,Mokosh II
1658851,AbiEii,defensefinder,1660823,GCA_011290405.1,CP049788.1,AbiE,Abi,AbiEii,AbiEii
3784921,RM_Type_IV,defensefinder,3785784,GCA_011290425.1,CP049793.1,RM,RM,RM_Type_IV,RM IV
352569,AbiEii,defensefinder,354541,GCA_011290425.1,CP049794.1,AbiE,Abi,AbiEii,AbiEii
20095,RM_Type_IV,defensefinder,20958,GCA_011290445.1,CP049791.1,RM,RM,RM_Type_IV,RM IV
134045,AbiEii,defensefinder,136017,GCA_011290445.1,CP049792.1,AbiE,Abi,AbiEii,AbiEii
20095,RM_Type_IV,defensefinder,20958,GCA_011290465.1,CP049789.1,RM,RM,RM_Type_IV,RM IV
297138,AbiEii,defensefinder,299110,GCA_011290465.1,CP049790.1,AbiE,Abi,AbiEii,AbiEii
1680848,AbiEii,defensefinder,1682793,GCA_012562465.1,CP051295.1,AbiE,Abi,AbiEii,AbiEii
309401,RosmerTA,defensefinder,311268,GCA_012562465.1,CP051296.1,RosmerTA,TA,RosmerTA,RosmerTA
3083675,Olokun,defensefinder,3087084,GCA_013306295.1,CP052082.1,Olokun,Unknown,Olokun,Olokun
272768,AbiEii,defensefinder,274740,GCA_013306295.1,CP052083.1,AbiE,Abi,AbiEii,AbiEii
50837,RM_Type_IV,defensefinder,51700,GCA_013306335.1,CP052086.1,RM,RM,RM_Type_IV,RM IV
304170,RM_Type_II,defensefinder,305662,GCA_013306335.1,CP052086.1,RM,RM,RM_Type_II,RM II
295603,AbiEii,defensefinder,297575,GCA_013306335.1,CP052087.1,AbiE,Abi,AbiEii,AbiEii
10516,RM_Type_IV,defensefinder,9653,GCA_013306395.1,CP052090.1,RM,RM,RM_Type_IV,RM IV
279908,AbiEii,defensefinder,281880,GCA_013306395.1,CP052091.1,AbiE,Abi,AbiEii,AbiEii
694430,ISG15-like,defensefinder,697352,GCA_013306395.1,CP052090.1,ISG15-like,Unknown,ISG15-like,ISG15-like
10516,RM_Type_IV,defensefinder,9653,GCA_013306475.1,CP052098.1,RM,RM,RM_Type_IV,RM IV
279908,AbiEii,defensefinder,281880,GCA_013306475.1,CP052099.1,AbiE,Abi,AbiEii,AbiEii
694434,ISG15-like,defensefinder,697356,GCA_013306475.1,CP052098.1,ISG15-like,Unknown,ISG15-like,ISG15-like
22457,RM_Type_IV,defensefinder,23320,GCA_013306495.1,CP052102.1,RM,RM,RM_Type_IV,RM IV
407367,Gabija,defensefinder,410517,GCA_013306495.1,CP052102.1,Gabija,Unknown,Gabija,Gabija
293939,AbiEii,defensefinder,295911,GCA_013306495.1,CP052103.1,AbiE,Abi,AbiEii,AbiEii
22457,RM_Type_IV,defensefinder,23320,GCA_013306515.1,CP052104.1,RM,RM,RM_Type_IV,RM IV
407367,Gabija,defensefinder,410517,GCA_013306515.1,CP052104.1,Gabija,Unknown,Gabija,Gabija
293938,AbiEii,defensefinder,295910,GCA_013306515.1,CP052105.1,AbiE,Abi,AbiEii,AbiEii
22457,RM_Type_IV,defensefinder,23320,GCA_013306545.1,CP052106.1,RM,RM,RM_Type_IV,RM IV
407367,Gabija,defensefinder,410517,GCA_013306545.1,CP052106.1,Gabija,Unknown,Gabija,Gabija
293939,AbiEii,defensefinder,295911,GCA_013306545.1,CP052107.1,AbiE,Abi,AbiEii,AbiEii
22457,RM_Type_IV,defensefinder,23320,GCA_013306575.1,CP052108.1,RM,RM,RM_Type_IV,RM IV
407364,Gabija,defensefinder,410514,GCA_013306575.1,CP052108.1,Gabija,Unknown,Gabija,Gabija
293939,AbiEii,defensefinder,295911,GCA_013306575.1,CP052109.1,AbiE,Abi,AbiEii,AbiEii
11149,RM_Type_IV,defensefinder,12012,GCA_013306655.1,CP052110.1,RM,RM,RM_Type_IV,RM IV
1796852,AbiEii,defensefinder,1798824,GCA_013306655.1,CP052111.1,AbiE,Abi,AbiEii,AbiEii
11149,RM_Type_IV,defensefinder,12012,GCA_013306745.1,CP052112.1,RM,RM,RM_Type_IV,RM IV
1796852,AbiEii,defensefinder,1798824,GCA_013306745.1,CP052113.1,AbiE,Abi,AbiEii,AbiEii
22457,RM_Type_IV,defensefinder,23320,GCA_013306765.1,CP052114.1,RM,RM,RM_Type_IV,RM IV
407367,Gabija,defensefinder,410517,GCA_013306765.1,CP052114.1,Gabija,Unknown,Gabija,Gabija
293939,AbiEii,defensefinder,295911,GCA_013306765.1,CP052115.1,AbiE,Abi,AbiEii,AbiEii
22457,RM_Type_IV,defensefinder,23320,GCA_013306785.1,CP052118.1,RM,RM,RM_Type_IV,RM IV
407367,Gabija,defensefinder,410517,GCA_013306785.1,CP052118.1,Gabija,Unknown,Gabija,Gabija
293939,AbiEii,defensefinder,295911,GCA_013306785.1,CP052119.1,AbiE,Abi,AbiEii,AbiEii
22457,RM_Type_IV,defensefinder,23320,GCA_013306805.1,CP052116.1,RM,RM,RM_Type_IV,RM IV
407367,Gabija,defensefinder,410517,GCA_013306805.1,CP052116.1,Gabija,Unknown,Gabija,Gabija
293939,AbiEii,defensefinder,295911,GCA_013306805.1,CP052117.1,AbiE,Abi,AbiEii,AbiEii
22457,RM_Type_IV,defensefinder,23320,GCA_013306825.1,CP052120.1,RM,RM,RM_Type_IV,RM IV
407367,Gabija,defensefinder,410517,GCA_013306825.1,CP052120.1,Gabija,Unknown,Gabija,Gabija
293939,AbiEii,defensefinder,295911,GCA_013306825.1,CP052121.1,AbiE,Abi,AbiEii,AbiEii
3083675,Olokun,defensefinder,3087084,GCA_013306845.1,CP052122.1,Olokun,Unknown,Olokun,Olokun
272768,AbiEii,defensefinder,274740,GCA_013306845.1,CP052123.1,AbiE,Abi,AbiEii,AbiEii
3083675,Olokun,defensefinder,3087084,GCA_013306875.1,CP052124.1,Olokun,Unknown,Olokun,Olokun
272768,AbiEii,defensefinder,274740,GCA_013306875.1,CP052125.1,AbiE,Abi,AbiEii,AbiEii
50837,RM_Type_IV,defensefinder,51700,GCA_013306915.1,CP052130.1,RM,RM,RM_Type_IV,RM IV
304166,RM_Type_II,defensefinder,305658,GCA_013306915.1,CP052130.1,RM,RM,RM_Type_II,RM II
295603,AbiEii,defensefinder,297575,GCA_013306915.1,CP052131.1,AbiE,Abi,AbiEii,AbiEii
50837,RM_Type_IV,defensefinder,51700,GCA_013306935.1,CP052126.1,RM,RM,RM_Type_IV,RM IV
304170,RM_Type_II,defensefinder,305662,GCA_013306935.1,CP052126.1,RM,RM,RM_Type_II,RM II
295603,AbiEii,defensefinder,297575,GCA_013306935.1,CP052127.1,AbiE,Abi,AbiEii,AbiEii
10516,RM_Type_IV,defensefinder,9653,GCA_013306955.1,CP052128.1,RM,RM,RM_Type_IV,RM IV
278419,AbiEii,defensefinder,280391,GCA_013306955.1,CP052129.1,AbiE,Abi,AbiEii,AbiEii
281994,AbiEii,defensefinder,283966,GCA_013375715.1,CP056084.1,AbiE,Abi,AbiEii,AbiEii
91201,Mokosh_TypeI,defensefinder,97277,GCA_013375715.1,CP056084.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
948346,AbiEii,defensefinder,950318,GCA_013375735.1,CP056086.1,AbiE,Abi,AbiEii,AbiEii
1135035,Mokosh_TypeI,defensefinder,1141111,GCA_013375735.1,CP056086.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
11149,RM_Type_IV,defensefinder,12012,GCA_013704765.1,CP059376.1,RM,RM,RM_Type_IV,RM IV
735605,AbiEii,defensefinder,737577,GCA_013704765.1,CP059377.1,AbiE,Abi,AbiEii,AbiEii
103269,AbiEii,defensefinder,105241,GCA_014041975.1,CP059490.1,AbiE,Abi,AbiEii,AbiEii
289956,Mokosh_TypeI,defensefinder,296032,GCA_014041975.1,CP059490.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
5849,Retron_I_C,defensefinder,6310,GCA_014884685.1,CP051169.1,Retron,Retron,Retron_I_C,Retron I-C
5774,Retron_I_C,defensefinder,6310,GCA_014884705.1,CP051171.1,Retron,Retron,Retron_I_C,Retron I-C
7383,Retron_I_C,defensefinder,8324,GCA_014884705.1,CP051171.1,Retron,Retron,Retron_I_C,Retron I-C
1276196,AbiEii,defensefinder,1278168,GCA_014884725.1,CP051174.1,AbiE,Abi,AbiEii,AbiEii
12393,RM_Type_III,defensefinder,16579,GCA_014884745.1,CP051175.1,RM,RM,RM_Type_III,RM III
1263109,Lit,defensefinder,1264071,GCA_014884745.1,CP051175.1,Lit,Abi,Lit,Lit
970459,AbiEii,defensefinder,972392,GCA_014884745.1,CP051176.1,AbiE,Abi,AbiEii,AbiEii
279665,AbiEii,defensefinder,281637,GCA_015097935.1,AP024098.1,AbiE,Abi,AbiEii,AbiEii
90560,Mokosh_TypeI,defensefinder,96495,GCA_015097935.1,AP024098.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
323311,RM_Type_IV,defensefinder,324174,GCA_015098135.1,AP024099.1,RM,RM,RM_Type_IV,RM IV
339472,RM_Type_I,defensefinder,344321,GCA_015098135.1,AP024099.1,RM,RM,RM_Type_I,RM I
1698794,RM_Type_IIG,defensefinder,1703785,GCA_015098135.1,AP024099.1,RM,RM,RM_Type_IIG,RM IIG
3333535,Lamassu-Fam,defensefinder,3336948,GCA_015098135.1,AP024099.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
1821867,AbiEii,defensefinder,1823839,GCA_015098135.1,AP024100.1,AbiE,Abi,AbiEii,AbiEii
650016,Septu,defensefinder,652432,GCA_015098135.1,AP024099.1,Septu,Unknown,Septu,Septu
49691,RM_Type_IV,defensefinder,50554,GCA_015098255.1,AP024101.1,RM,RM,RM_Type_IV,RM IV
1846777,AbiEii,defensefinder,1848749,GCA_015098255.1,AP024102.1,AbiE,Abi,AbiEii,AbiEii
602231,RM_Type_III,defensefinder,606605,GCA_015098475.1,AP024103.1,RM,RM,RM_Type_III,RM III
1261402,Lamassu-Fam,defensefinder,1268120,GCA_015098475.1,AP024103.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
273009,AbiEii,defensefinder,274981,GCA_015098475.1,AP024104.1,AbiE,Abi,AbiEii,AbiEii
274486,AbiEii,defensefinder,276458,GCA_015098595.1,AP024106.1,AbiE,Abi,AbiEii,AbiEii
49673,RM_Type_IV,defensefinder,50536,GCA_015098755.1,AP024107.1,RM,RM,RM_Type_IV,RM IV
1765394,AbiEii,defensefinder,1767366,GCA_015098755.1,AP024108.1,AbiE,Abi,AbiEii,AbiEii
279665,AbiEii,defensefinder,281637,GCA_015698345.1,AP024158.1,AbiE,Abi,AbiEii,AbiEii
90560,Mokosh_TypeI,defensefinder,96495,GCA_015698345.1,AP024158.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
323211,RM_Type_IV,defensefinder,324074,GCA_015698365.1,AP024159.1,RM,RM,RM_Type_IV,RM IV
339372,RM_Type_I,defensefinder,344221,GCA_015698365.1,AP024159.1,RM,RM,RM_Type_I,RM I
1698695,RM_Type_IIG,defensefinder,1703686,GCA_015698365.1,AP024159.1,RM,RM,RM_Type_IIG,RM IIG
3333436,Lamassu-Fam,defensefinder,3336849,GCA_015698365.1,AP024159.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
1821875,AbiEii,defensefinder,1823847,GCA_015698365.1,AP024160.1,AbiE,Abi,AbiEii,AbiEii
649916,Septu,defensefinder,652332,GCA_015698365.1,AP024159.1,Septu,Unknown,Septu,Septu
11037,RM_Type_II,defensefinder,6731,GCA_015698385.1,AP024161.1,RM,RM,RM_Type_II,RM II
16882,RM_Type_IIG,defensefinder,21873,GCA_015698385.1,AP024161.1,RM,RM,RM_Type_IIG,RM IIG
48269,RM_Type_IV,defensefinder,49132,GCA_015698385.1,AP024161.1,RM,RM,RM_Type_IV,RM IV
291762,AbiEii,defensefinder,293734,GCA_015698385.1,AP024162.1,AbiE,Abi,AbiEii,AbiEii
1615589,RM_Type_IV,defensefinder,1616443,GCA_018540425.1,CP071914.1,RM,RM,RM_Type_IV,RM IV
1630482,Lamassu-Fam,defensefinder,1633982,GCA_018540425.1,CP071914.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
1494902,AbiEii,defensefinder,1496874,GCA_018540425.1,CP071915.1,AbiE,Abi,AbiEii,AbiEii
1596295,Gabija,defensefinder,1599430,GCA_018540425.1,CP071915.1,Gabija,Unknown,Gabija,Gabija
3641808,RM_Type_IV,defensefinder,3642671,GCA_018731965.1,CP076115.1,RM,RM,RM_Type_IV,RM IV
1713959,AbiEii,defensefinder,1715931,GCA_018731965.1,CP076116.1,AbiE,Abi,AbiEii,AbiEii
2947528,Dazbog,defensefinder,2949732,GCA_018733955.1,CP076120.1,Dazbog,Unknown,Dazbog,Dazbog
1267450,Lamassu-Fam,defensefinder,1274168,GCA_018733955.1,CP076120.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
1576354,AbiEii,defensefinder,1578326,GCA_018733955.1,CP076122.1,AbiE,Abi,AbiEii,AbiEii
590871,RosmerTA,defensefinder,592691,GCA_018733955.1,CP076120.1,RosmerTA,TA,RosmerTA,RosmerTA
24949,RM_Type_IV,defensefinder,25812,GCA_018861195.1,CP076415.1,RM,RM,RM_Type_IV,RM IV
2537608,Lit,defensefinder,2538540,GCA_018861195.1,CP076415.1,Lit,Abi,Lit,Lit
1858689,AbiEii,defensefinder,1860661,GCA_018861195.1,CP076416.1,AbiE,Abi,AbiEii,AbiEii
2028840,Gabija,defensefinder,2032956,GCA_018861195.1,CP076416.1,Gabija,Unknown,Gabija,Gabija
2970857,Dsr_I,defensefinder,2974648,GCA_002393485.1,CP023537.1,dsr,Abi,Dsr_I,dsr I
2721322,SEFIR,defensefinder,2722080,GCA_009578005.1,CP045087.1,SEFIR,Unknown,SEFIR,SEFIR
355014,RM_Type_IV,defensefinder,356342,GCA_009578005.1,CP045087.1,RM,RM,RM_Type_IV,RM IV
352567,RM_Type_IV,defensefinder,355002,GCA_009578005.1,CP045087.1,RM,RM,RM_Type_IV,RM IV
337897,dCTPdeaminase,defensefinder,339090,GCA_009578005.1,CP045087.1,dCTPdeaminase,Nucleotide_depletion,dCTPdeaminase,dCTPdeaminase
2444220,Gao_Ape,defensefinder,2445995,GCA_009578005.1,CP045087.1,ApeA,Unknown,Gao_Ape,ApeA
