system,location,frequency,percentage
Hydrolase-TM,chromosome,80,1.0
dXTPase,prophage in chromosome,77,0.03861584754262788
old,chromosome,74,0.42528735632183906
AbiL,prophage in chromosome,74,0.16299559471365638
DprA-PRTase,prophage in chromosome,74,0.4327485380116959
ApeA,chromosome,73,0.9358974358974359
PARIS,plasmid,73,0.14202334630350194
Pycsar,chromosome,70,0.5932203389830508
RADAR,chromosome,69,1.0
tin,prophage in chromosome,67,0.5877192982456141
Shedu,prophage in chromosome,58,0.17365269461077845
DUF4238,prophage in chromosome,58,0.5631067961165048
darTG,prophage in chromosome,53,0.058823529411764705
tin,chromosome,47,0.41228070175438597
Septu,plasmid,46,0.01811736904293029
Viperin,plasmid,46,0.9019607843137255
DUF4238,chromosome,45,0.4368932038834951
Borvo,chromosome,44,0.7857142857142857
GAO_20,chromosome,43,1.0
hhe,prophage in chromosome,42,0.05084745762711865
Shango,chromosome,40,0.9523809523809523
dCTPdeaminase,prophage in chromosome,40,0.21164021164021163
Kiwa,plasmid,38,0.022740873728306403
Wadjet,chromosome,36,1.0
hma,chromosome,36,0.9473684210526315
Lamassu,prophage in chromosome,35,0.13108614232209737
Thoeris,prophage in chromosome,34,0.024584237165582067
AVAST,plasmid,34,0.02262142381902861
Dynamins,chromosome,34,1.0
AVAST,prophage in chromosome,31,0.020625415834996674
2TM-1TM-TIR,prophage in chromosome,28,0.6666666666666666
AbiH,prophage in chromosome,28,0.15730337078651685
DRT,plasmid,26,0.008042066192390968
Pycsar,prophage in chromosome,26,0.22033898305084745
hhe,plasmid,24,0.029055690072639227
TerY-P,chromosome,24,1.0
ppl,prophage in chromosome,23,0.034954407294832825
Pycsar,plasmid,22,0.1864406779661017
Argonaute,chromosome,22,1.0
AbiD,prophage in chromosome,22,0.023060796645702306
Thoeris,plasmid,22,0.015907447577729574
Gabija,prophage in chromosome,21,0.005236907730673317
ietAS,plasmid,19,0.010875787063537493
SEFIR,plasmid,19,0.475
RosmerTA,chromosome,19,0.76
dCTPdeaminase,plasmid,17,0.08994708994708994
Menshen,chromosome,16,0.8
Hachiman,prophage in chromosome,15,0.012264922322158627
2TM-1TM-TIR,chromosome,14,0.3333333333333333
AbiQ,chromosome,13,0.08024691358024691
PrrC,prophage in plasmid,13,0.0325
SEFIR,chromosome,12,0.3
Borvo,prophage in chromosome,12,0.21428571428571427
AbiU,plasmid,10,0.0196078431372549
SEFIR,prophage in chromosome,9,0.225
ShosTA,chromosome,8,0.7272727272727273
PifA,prophage in chromosome,8,0.006482982171799027
RosmerTA,prophage in chromosome,6,0.24
PrrC,plasmid,6,0.015
Viperin,chromosome,5,0.09803921568627451
AVAST,prophage in plasmid,5,0.00332667997338656
ApeA,plasmid,5,0.0641025641025641
Menshen,prophage in chromosome,4,0.2
TIR-NLR,prophage in chromosome,4,0.036036036036036036
Hachiman,plasmid,4,0.003270645952575634
upx,chromosome,3,1.0
ShosTA,prophage in chromosome,3,0.2727272727272727
Zorya,plasmid,3,0.0011441647597254005
PrrC,prophage in chromosome,3,0.0075
qatABCD,plasmid,3,0.0026041666666666665
Helicase-DUF2290,plasmid,3,0.02027027027027027
Dazbog,chromosome,2,0.6666666666666666
Shango,plasmid,2,0.047619047619047616
CBASS,prophage in plasmid,2,0.0003984857541342897
Helicase-DUF2290,prophage in chromosome,2,0.013513513513513514
Druantia,plasmid,2,0.000617093489663684
hma,prophage in chromosome,2,0.05263157894736842
Gabija,prophage in plasmid,2,0.0004987531172069825
Dazbog,prophage in chromosome,1,0.3333333333333333
CRISPR,prophage in chromosome,1,6.0650169820475496e-05
CRISPR,plasmid,1,6.0650169820475496e-05
Dpd,prophage in chromosome,1,0.0008673026886383347
PbeABCD,chromosome,1,1.0
Druantia,prophage in chromosome,1,0.000308546744831842
Mokosh,plasmid,1,0.0011655011655011655
DRT,prophage in plasmid,1,0.0003093102381688834
